"","Name","price","Rating"
"1","Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL","10,999","4.2 out of 5 stars"
"2","Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)","12,499","4.2 out of 5 stars"
"3","Redmi 9A (Midnight Black, 2GB RAM, 32GB Storage)","6,799","4.2 out of 5 stars"
"4","Redmi 9A (Nature Green, 2GB Ram, 32GB Storage)","6,799","4.2 out of 5 stars"
"5","Redmi 9A (Sea Blue, 2GB Ram, 32GB Storage)","6,799","4.2 out of 5 stars"
"6","Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","8,999","4.1 out of 5 stars"
"7","Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage) - Get Rs 3,000 Instant discount on SBI Credit Cards. Limited Period Offer","22,499","4.3 out of 5 stars"
"8","Redmi Note 9 (Aqua Green, 4GB RAM, 64GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL","10,999","4.2 out of 5 stars"
"9","Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage) - Get Rs 1,000 Amazon Pay cashback on prepaid orders. Limited Period offer","16,499","4.2 out of 5 stars"
"10","Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage)","12,499","4.2 out of 5 stars"
"11","Redmi 9 Prime (Space Blue, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera| Extra INR 500 cashback as Amazon Pay Balance","9,999","4.2 out of 5 stars"
"12","Redmi Note 9 Pro (Aurora Blue, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G & Alexa Hands-Free","12,999","4.2 out of 5 stars"
"13","Samsung Galaxy M31s (Mirage Blue, 6GB RAM, 128GB Storage) - Get Rs 1,000 Amazon Pay cashback on prepaid orders. Limited Period offer","18,499","4.3 out of 5 stars"
"14","Redmi Note 9 (Arctic White, 4GB RAM, 64GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL","10,999","4.2 out of 5 stars"
"15","Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","8,999","4.1 out of 5 stars"
"16","Samsung Galaxy M51 (Celestial Black, 6GB RAM, 128GB Storage) - Get Rs 3,000 Instant discount on SBI Credit Cards. Limited Period Offer","22,499","4.3 out of 5 stars"
"17","Redmi Note 9 Pro (Aurora Blue, 4GB RAM, 128GB Storage) - Latest 8nm Snapdragon 720G & Alexa Hands-Free","13,999","4.2 out of 5 stars"
"18","Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free","12,999","4.2 out of 5 stars"
"19","Redmi Note 9 Pro Max (Interstellar Black, 6GB RAM, 64GB Storage) - 64MP Quad Camera & Latest 8nm Snapdragon 720G & Alexa Hands-Free","15,999","4.1 out of 5 stars"
"20","Redmi 9 (Sporty Orange, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","8,999","4.1 out of 5 stars"
"21","Redmi 9A (Sea Blue, 3GB Ram, 32GB Storage)","7,499","4.2 out of 5 stars"
"22","Redmi 9A (Midnight Black, 3GB Ram, 32GB Storage)","7,499","4.2 out of 5 stars"
"23","Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 128GB Storage) - Latest 8nm Snapdragon 720G & Alexa Hands-Free","13,999","4.2 out of 5 stars"
"24","Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB Storage) - Get Rs 1,000 Amazon Pay cashback on prepaid orders. Limited Period offer","18,499","4.3 out of 5 stars"
